date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:47	84374/84374	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202019%2003:41:06%20GMT	https://www.lacoxanh.vn/	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/index.html	(from )
10:42:47	34/34	---M--	200	added ('OK')	text/plain	etag:%2222-5772630846980%22	https://www.lacoxanh.vn/robots.txt		(from )
10:42:47	6533/6533	---M--	200	added ('OK')	image/png	etag:%221985-576b2ab6f2f00%22	https://www.lacoxanh.vn/public/images/1537884636-Cong-Ty-Laco-Cong-Ty-TNHH-Quoc-Te-Laco.png	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/1537884636-Cong-Ty-Laco-Cong-Ty-TNHH-Quoc-Te-Laco.png	(from https://www.lacoxanh.vn/)
10:42:48	275/275	---M--	302	error ('Found')	text/html	date:Wed,%2028%20Aug%202019%2003:41:07%20GMT	http://www.lacoxanh.vn/public/images/1537885227-Cong-Ty-Laco-Cong-Ty-TNHH-Quoc-Te-Laco.png	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/1537885227-Cong-Ty-Laco-Cong-Ty-TNHH-Quoc-Te-Laco.1.delayed	(from https://www.lacoxanh.vn/)
10:42:48	11508/11508	---M--	200	added ('OK')	image/png	etag:%222cf4-576b2ce99de80%22	https://www.lacoxanh.vn/public/images/1537885227-Cong-Ty-Laco-Cong-Ty-TNHH-Quoc-Te-Laco.png	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/1537885227-Cong-Ty-Laco-Cong-Ty-TNHH-Quoc-Te-Laco.png	(from https://www.lacoxanh.vn/)
10:42:48	30775/30775	---M--	200	added ('OK')	text/css	etag:%227837-57b189c768d80%22	https://www.lacoxanh.vn/public/css/style.css	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/css/style.css	(from https://www.lacoxanh.vn/)
10:42:48	89763/89763	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2028%20Aug%202019%2003:42:50%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/xampp/htdocs/demo/demo/connect.facebook.net/en_US/fbevents.js	(from https://www.lacoxanh.vn/)
10:42:49	3224/3224	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b3c5d3be195dc5ad829d71c4494b3d5e%22	https://connect.facebook.net/vi_VN/sdk.js	C:/xampp/htdocs/demo/demo/connect.facebook.net/vi_VN/sdk.js	(from https://www.lacoxanh.vn/)
10:42:49	329430/329430	---M--	200	added ('OK')	image/jpeg	etag:%22506d6-576c9a3e8cb80%22	https://www.lacoxanh.vn/public/images/1537983294-vi-Slider-2.jpg	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/1537983294-vi-Slider-2.jpg	(from https://www.lacoxanh.vn/)
10:42:49	292255/292255	---M--	200	added ('OK')	image/jpeg	etag:%224759f-576c9a5ef9800%22	https://www.lacoxanh.vn/public/images/1537983329-vi-Slider-1.jpg	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/1537983329-vi-Slider-1.jpg	(from https://www.lacoxanh.vn/)
10:42:49	1143/1143	---M--	200	added ('OK')	image/png	etag:%22477-560e875684480%22	https://www.lacoxanh.vn/public/images/icon_giamgia.png	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/icon_giamgia.png	(from https://www.lacoxanh.vn/)
10:42:50	70435/70435	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202019%2003:41:09%20GMT	https://www.lacoxanh.vn/Sua-Tam-Men-Ruou-Sake/Sua-Tam-Men-Ruou-Sake.html	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/Sua-Tam-Men-Ruou-Sake/Sua-Tam-Men-Ruou-Sake.html	(from https://www.lacoxanh.vn/)
10:42:50	6764/6764	---M--	200	added ('OK')	image/jpeg	etag:%221a6c-58b2618c2f000%22	https://www.lacoxanh.vn/public/images/1560409948-Sua-Tam-Men-Ruou-Sake.jpg	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/1560409948-Sua-Tam-Men-Ruou-Sake.jpg	(from https://www.lacoxanh.vn/)
10:42:50	77149/77149	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202019%2003:41:10%20GMT	https://www.lacoxanh.vn/San-pham/	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/San-pham/index.html	(from https://www.lacoxanh.vn/)
10:42:50	53773/53773	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202019%2003:41:10%20GMT	https://www.lacoxanh.vn/cong-ty-laco/	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/cong-ty-laco/index.html	(from https://www.lacoxanh.vn/)
10:42:50	76259/76259	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202019%2003:41:10%20GMT	https://www.lacoxanh.vn/Son-sap/Son-sap.html	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/Son-sap/Son-sap.html	(from https://www.lacoxanh.vn/)
10:42:50	6398/6398	---M--	200	added ('OK')	image/jpeg	etag:%2218fe-58a07cea6df00%22	https://www.lacoxanh.vn/public/images/1559180618-Son-sap.jpg	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/1559180618-Son-sap.jpg	(from https://www.lacoxanh.vn/)
10:42:51	63872/63872	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202019%2003:41:10%20GMT	https://www.lacoxanh.vn/thien-y-khang/combo-ngam-va-xit-hoi-chan-thien-y-khang.html	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/thien-y-khang/combo-ngam-va-xit-hoi-chan-thien-y-khang.html	(from https://www.lacoxanh.vn/)
10:42:51	10443/10443	---M--	200	added ('OK')	image/jpeg	etag:%2228cb-587907e539300%22	https://www.lacoxanh.vn/public/images/1556469146-combo-ngam-va-xit-hoi-chan-thien-y-khang.jpg	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/1556469146-combo-ngam-va-xit-hoi-chan-thien-y-khang.jpg	(from https://www.lacoxanh.vn/)
10:42:51	49382/49382	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202019%2003:41:10%20GMT	https://www.lacoxanh.vn/Tay-Da-Chet-Marosa/	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/Tay-Da-Chet-Marosa/index.html	(from https://www.lacoxanh.vn/)
10:42:51	64804/64804	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202019%2003:41:11%20GMT	https://www.lacoxanh.vn/thien-y-khang/thien-y-khang.html	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/thien-y-khang/thien-y-khang.html	(from https://www.lacoxanh.vn/)
10:42:51	10593/10593	---M--	200	added ('OK')	image/jpeg	etag:%222961-5879081c89580%22	https://www.lacoxanh.vn/public/images/1556468894-thien-y-khang.jpg	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/1556468894-thien-y-khang.jpg	(from https://www.lacoxanh.vn/)
10:42:52	65734/65734	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202019%2003:41:11%20GMT	https://www.lacoxanh.vn/xit-khu-mui-hoi-chan-thien-y-khang/Xit-khu-mui-khong-chan-thien-y-khang.html	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/xit-khu-mui-hoi-chan-thien-y-khang/Xit-khu-mui-khong-chan-thien-y-khang.html	(from https://www.lacoxanh.vn/)
10:42:52	10967/10967	---M--	200	added ('OK')	image/jpeg	etag:%222ad7-587904cdac780%22	https://www.lacoxanh.vn/public/images/1556468316-Xit-khu-mui-khong-chan-thien-y-khang.jpg	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/1556468316-Xit-khu-mui-khong-chan-thien-y-khang.jpg	(from https://www.lacoxanh.vn/)
10:42:52	50466/50466	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202019%2003:41:11%20GMT	https://www.lacoxanh.vn/Sua-Tam-Men-Ruou-Sake/	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/Sua-Tam-Men-Ruou-Sake/index.html	(from https://www.lacoxanh.vn/)
10:42:52	65103/65103	---M-Z	200	added ('OK')	text/html	date:Wed,%2028%20Aug%202019%2003:41:12%20GMT	https://www.lacoxanh.vn/nuoc-hoa-hong-marosa/Nuoc-hoa-hong-Marosa.html	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/nuoc-hoa-hong-marosa/Nuoc-hoa-hong-Marosa.html	(from https://www.lacoxanh.vn/)
10:42:52	60282/60282	---M--	200	added ('OK')	image/png	etag:%22eb7a-587908ee58480%22	https://www.lacoxanh.vn/public/images/1556466760-Nuoc-hoa-hong-Marosa.png	C:/xampp/htdocs/demo/demo/www.lacoxanh.vn/public/images/1556466760-Nuoc-hoa-hong-Marosa.png	(from https://www.lacoxanh.vn/)
